"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.45298902077526e-11,0.279857343710851,1,1,3.83385370976677e-07,"2","Rpl14"
3.77245302458935e-11,0.282149074898321,1,1,4.18855459320156e-07,"2","Rpl23"
3.99560079330075e-11,0.294463680284592,1,1,4.43631556080182e-07,"2","Rps25"
4.16361182913042e-11,0.365447141422572,0.844,0.771,4.62285821388351e-07,"2","Ndufab1"
4.62292229315332e-11,0.416448199522115,0.529,0.295,5.13283062208813e-07,"2","Vdac3"
5.08265249118096e-11,0.368094899155701,0.906,0.905,5.64326906095822e-07,"2","Psma7"
6.90619033241676e-11,0.352090065397615,0.451,0.234,7.66794312608233e-07,"2","Lamtor5"
7.38005599562506e-11,0.321485957267938,0.963,0.963,8.1940761719425e-07,"2","Tmem176b"
7.40532784386567e-11,0.363492889463025,0.975,0.964,8.22213550504405e-07,"2","Pfn1"
9.26450377558655e-11,0.384604082693734,0.586,0.346,1.02863785420337e-06,"2","Smco4"
1.2856320750384e-10,0.272978213535052,1,1,1.42743729291513e-06,"2","Rps15a"
1.31910674812804e-10,0.322489427530362,1,1,1.46460422244656e-06,"2","Itm2b"
1.44968292615436e-10,0.416813104757642,0.516,0.294,1.60958295290919e-06,"2","Mrps11"
1.49560341785775e-10,0.318635449915326,0.914,0.912,1.66056847484746e-06,"2","Tbca"
1.53558333410419e-10,0.311901498461111,1,0.999,1.70495817585589e-06,"2","Rpl36a"
1.81792943724642e-10,0.438002784124928,0.631,0.412,2.0184470541747e-06,"2","Mettl26"
1.9348715371758e-10,0.270514228952138,1,1,2.14828786772629e-06,"2","Rpl17"
2.00333825539865e-10,0.456633173342613,0.68,0.457,2.22430646496913e-06,"2","Dbp"
2.18088032406473e-10,0.315209221978395,0.943,0.923,2.42143142380907e-06,"2","Ndufa1"
2.33688863411513e-10,0.279302146542573,1,1,2.59464745045803e-06,"2","Chchd2"
2.71987869611982e-10,0.30393755588294,0.283,0.114,3.01988131630184e-06,"2","Mrpl18"
2.72571064100906e-10,0.402336903987223,0.578,0.353,3.02635652471235e-06,"2","Eid1"
2.82842367000822e-10,0.491050847403558,0.418,0.226,3.14039880081012e-06,"2","Hes6"
2.99377106083948e-10,0.428474702800301,0.852,0.808,3.32398400885007e-06,"2","Pcp4"
3.16478114107877e-10,0.401729621924272,0.611,0.386,3.51385650093976e-06,"2","Eif1b"
3.3517827020469e-10,0.413384433471162,0.783,0.633,3.72148433408268e-06,"2","Chchd10"
4.72582997407532e-10,0.397377488883521,0.783,0.652,5.24708902021583e-06,"2","Ndufa8"
5.71160040496242e-10,0.356812475640018,0.48,0.262,6.34158992962977e-06,"2","Ndufaf3"
6.49483452053383e-10,0.284994342065034,0.984,0.989,7.21121476814871e-06,"2","Serf2"
7.71657482969875e-10,0.334871836475951,0.963,0.95,8.56771303341452e-06,"2","Anxa5"
8.53593232784503e-10,0.331710026233998,0.459,0.241,9.47744566360633e-06,"2","Psma4"
9.51326164218217e-10,0.303133145963386,0.336,0.156,1.05625744013149e-05,"2","Hspb11"
9.80432874911256e-10,0.333365582201361,0.898,0.886,1.08857462101397e-05,"2","Ctsb"
9.99430696887145e-10,0.326936215605179,0.393,0.2,1.1096679027538e-05,"2","Cyb5r3"
1.07170135193706e-09,0.351852609373975,0.848,0.847,1.18991001105571e-05,"2","Ndufa3"
1.14501045387347e-09,0.378811916333085,0.516,0.303,1.27130510693572e-05,"2","Pgls"
1.15904955873595e-09,0.37064997888364,0.77,0.749,1.28689272506452e-05,"2","Scp2"
1.1681454815296e-09,0.382216688193214,0.537,0.337,1.29699192814232e-05,"2","Rer1"
1.24741257579842e-09,0.344563732275787,0.459,0.25,1.38500218290899e-05,"2","Timm17b"
1.6630217704062e-09,0.396237585779965,0.561,0.353,1.84645307168201e-05,"2","Hagh"
1.7643410118936e-09,0.293834055664957,0.922,0.899,1.95894782550547e-05,"2","Tspan3"
1.76998825059712e-09,0.299105339803217,0.996,0.993,1.96521795463798e-05,"2","Laptm4a"
1.77507261239962e-09,0.379491560703504,0.619,0.411,1.9708631215473e-05,"2","Fam174a"
1.88329647298353e-09,0.37154967678782,0.512,0.302,2.09102407395362e-05,"2","Cebpzos"
1.99079167548534e-09,0.345340574904564,0.43,0.233,2.21037599729138e-05,"2","Esd"
2.03134388774302e-09,0.34507495650304,0.545,0.326,2.25540111856107e-05,"2","Znhit1"
2.11783237450704e-09,0.376202317665636,0.57,0.364,2.35142928541517e-05,"2","Rab3a"
2.35017177765144e-09,0.31906044876355,0.93,0.869,2.60939572472639e-05,"2","Peg3"
2.69311173758363e-09,0.356816183609831,0.906,0.923,2.9901619622391e-05,"2","Hmgb1"
2.80959867820256e-09,0.355295970884322,0.578,0.364,3.1194974124083e-05,"2","Ube2n"
2.91598306251806e-09,0.256592228086483,1,1,3.2376159943138e-05,"2","Rps27a"
3.02228835275005e-09,0.363645546262897,0.566,0.361,3.35564675805839e-05,"2","Ccdc12"
3.36497700437992e-09,0.267495604196227,1,1,3.73613396796302e-05,"2","Rpl9"
3.43793111111666e-09,0.45424184017532,0.652,0.47,3.81713491267282e-05,"2","Fbxo2"
3.60781437162714e-09,0.320662794823018,0.385,0.197,4.00575629681761e-05,"2","Bnip2"
3.67111992371829e-09,0.340399718313028,0.492,0.281,4.07604445130442e-05,"2","Smim27"
3.80319411251428e-09,0.333771155698092,0.475,0.27,4.22268642312461e-05,"2","Chchd6"
3.88037843390365e-09,0.310453236527036,0.93,0.937,4.30838417516323e-05,"2","Uqcrq"
4.01515272415936e-09,0.288658099046369,1,0.993,4.45802406963413e-05,"2","Myl6"
4.36536327427547e-09,0.376230104282501,0.582,0.382,4.84686284342805e-05,"2","Trappc6b"
4.51587044033847e-09,0.36134886540391,0.701,0.491,5.0139709499078e-05,"2","Pfdn1"
4.79918850987286e-09,0.341191415042285,0.594,0.377,5.32853900251183e-05,"2","Naa38"
4.83990101207278e-09,0.355004664464172,0.857,0.868,5.37374209370441e-05,"2","Prnp"
4.88136972497143e-09,0.362347102545382,0.529,0.328,5.41978480563578e-05,"2","Pam16"
4.97785296966219e-09,0.346340411459046,0.557,0.348,5.52691015221593e-05,"2","Chchd1"
