"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gprasp1",2.02659800740801e-11,0.255979771415929,0.7,0.541,2.25013176762511e-07,"0","Gprasp1"
"Rasd1",1.51100370701163e-10,0.318238827027743,0.536,0.386,1.67766741589501e-06,"0","Rasd1"
"Syt1",1.70889172715803e-09,0.253112822187588,0.587,0.453,1.89738248466356e-05,"0","Syt1"
"Nnat",3.66213544264113e-123,0.920973205199149,0.999,0.982,4.06606898196444e-119,"1","Nnat"
"Dnajb1",1.48675828831249e-121,1.49286101771487,0.925,0.751,1.65074772751335e-117,"1","Dnajb1"
"Mt1",6.47306181251867e-101,1.06484327017325,0.99,0.961,7.18704053043948e-97,"1","Mt1"
"Btg2",1.16987443465032e-93,0.798842277100325,0.999,0.995,1.29891158479225e-89,"1","Btg2"
"Cebpd",1.11635708427461e-88,1.24127222550212,0.847,0.487,1.2394912706701e-84,"1","Cebpd"
"Ubb",7.86952198291428e-80,0.620661002881032,1,1,8.73753025762973e-76,"1","Ubb"
"Jund",1.96842901128227e-75,0.680027231187962,0.999,0.996,2.1855467312267e-71,"1","Jund"
"Fosb",8.18597745063432e-66,0.60603626492944,0.999,0.983,9.08889076343928e-62,"1","Fosb"
"Ier2",1.80285405957231e-63,0.623559356921874,0.996,0.969,2.00170886234314e-59,"1","Ier2"
"Egr1",1.63125146850177e-53,0.552811695946663,1,0.994,1.81117850547752e-49,"1","Egr1"
"Ubc",3.09732911400775e-49,0.593844121727753,0.964,0.953,3.43896451528281e-45,"1","Ubc"
"Hspa8",3.43741246639471e-47,0.690537032643434,1,0.999,3.81655906143805e-43,"1","Hspa8"
"Egr2",3.74393953090428e-47,0.6731991383336,0.736,0.419,4.15689606116302e-43,"1","Egr2"
"Actb",7.26973254073768e-46,0.488754272587494,1,0.991,8.07158403998104e-42,"1","Actb"
"Hsp90aa1",2.1349454384399e-43,0.59970847243921,0.955,0.937,2.37042992029982e-39,"1","Hsp90aa1"
"Jmjd1c",1.3498153699197e-42,0.513801471799917,0.941,0.679,1.49870000522184e-38,"1","Jmjd1c"
"Fth1",4.1061605172531e-40,0.409151000243528,1,1,4.55907002230611e-36,"1","Fth1"
"Atf3",8.53046580292543e-40,1.11703318893075,0.745,0.651,9.47137618098811e-36,"1","Atf3"
