"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rab5c",2.53281392233601e-06,0.356361591951236,0.61,0.264,0.0281218329796967,"3","Rab5c"
"Grb21",2.60001080842267e-06,0.424430634236154,0.644,0.322,0.0288679200059169,"3","Grb2"
"Rpl211",2.63814550067912e-06,0.376659423483707,1,1,0.0292913294940403,"3","Rpl21"
"Hint2",2.64907094146791e-06,0.433628361369251,0.864,0.478,0.0294126346631183,"3","Hint2"
"Rprml1",2.69686552377129e-06,0.467533417134261,0.661,0.329,0.0299432979104326,"3","Rprml"
"Rae1",2.71587992890299e-06,0.412003439189211,0.458,0.18,0.0301544148506099,"3","Rae1"
"U2af1",3.05974012158589e-06,0.451808377434272,0.831,0.495,0.0339722945699682,"3","U2af1"
"Prmt1",3.09683391932893e-06,0.547348208921378,0.763,0.468,0.0343841470063091,"3","Prmt1"
"Myl61",3.13067874185119e-06,0.454272662561944,0.983,0.942,0.0347599260707738,"3","Myl6"
"Myl12a1",3.58782389275033e-06,0.495957494662411,0.814,0.454,0.0398356086812069,"3","Myl12a"
"Eif3f",3.99016032990301e-06,0.405638801276594,0.983,0.946,0.0443027501429131,"3","Eif3f"
"Wdcp",4.05547776920488e-06,0.262285148459961,0.288,0.078,0.0450279696714818,"3","Wdcp"
"Set1",4.08916777424675e-06,0.445994311829289,0.932,0.559,0.0454020297974617,"3","Set"
"Hcfc1r11",4.10434956660919e-06,0.481708538924131,0.966,0.641,0.0455705932380618,"3","Hcfc1r1"
"Mvb12a",4.31906797952081e-06,0.333485126309762,0.492,0.2,0.0479546117766196,"3","Mvb12a"
"Prpf40a",4.45012396385064e-06,0.417687077692793,0.576,0.275,0.0494097263706336,"3","Prpf40a"
